Date,Price
2018-01-01,
2018-01-02,15000.0
2018-01-03,15000.0
2018-01-04,15000.0
2018-01-05,15000.0
2018-01-08,16000.0
2018-01-09,16000.0
2018-01-10,16000.0
2018-01-11,16000.0
2018-01-12,17000.0
2018-01-15,17000.0
2018-01-16,17000.0
2018-01-17,17000.0
2018-01-18,16000.0
2018-01-19,16000.0
2018-01-22,16000.0
2018-01-23,16000.0
2018-01-24,16000.0
2018-01-25,16000.0
2018-01-26,16000.0
2018-01-29,16000.0
2018-01-30,16000.0
2018-01-31,15000.0
2018-02-01,15000.0
2018-02-02,15000.0
2018-02-05,15000.0
2018-02-06,15000.0
2018-02-07,15000.0
2018-02-08,17000.0
2018-02-09,17000.0
2018-02-12,20000.0
2018-02-13,20000.0
2018-02-14,20000.0
2018-02-15,20000.0
2018-02-16,
2018-02-19,20000.0
2018-02-20,22000.0
2018-02-21,22000.0
2018-02-22,22000.0
2018-02-23,22000.0
2018-02-26,24000.0
2018-02-27,24000.0
2018-02-28,22000.0
2018-03-01,24000.0
2018-03-02,30000.0
2018-03-05,24000.0
2018-03-06,24000.0
2018-03-07,24000.0
2018-03-08,
2018-03-09,24000.0
2018-03-12,25000.0
2018-03-13,25000.0
2018-03-14,25000.0
2018-03-15,25000.0
2018-03-16,25000.0
2018-03-19,30000.0
2018-03-20,30000.0
2018-03-21,30000.0
2018-03-22,28000.0
2018-03-23,28000.0
2018-03-26,30000.0
2018-03-27,28000.0
2018-03-28,26000.0
2018-03-29,
2018-03-30,
2018-04-02,27000.0
2018-04-03,30000.0
2018-04-04,32000.0
2018-04-05,
2018-04-06,
2018-04-09,30000.0
2018-04-10,30000.0
2018-04-11,30000.0
2018-04-12,
2018-04-13,
2018-04-16,30000.0
2018-04-17,32000.0
2018-04-18,30000.0
2018-04-19,30000.0
2018-04-20,30000.0
2018-04-23,27000.0
2018-04-24,27000.0
2018-04-25,30000.0
2018-04-26,30000.0
2018-04-27,30000.0
2018-04-30,
2018-05-01,
2018-05-02,31000.0
2018-05-03,30000.0
2018-05-04,30000.0
2018-05-07,
2018-05-08,30000.0
2018-05-09,30000.0
2018-05-10,
2018-05-11,30000.0
2018-05-14,32000.0
2018-05-15,30000.0
2018-05-16,32000.0
2018-05-17,32000.0
2018-05-18,30000.0
2018-05-21,32000.0
2018-05-22,32000.0
2018-05-23,32000.0
2018-05-24,
2018-05-25,32000.0
2018-05-28,32000.0
2018-05-29,
2018-05-30,34000.0
2018-05-31,34000.0
2018-06-01,
2018-06-04,32000.0
2018-06-05,32000.0
2018-06-06,32000.0
2018-06-07,30000.0
2018-06-08,32000.0
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,30000.0
2018-06-22,
2018-06-25,30000.0
2018-06-26,28000.0
2018-06-27,
2018-06-28,28000.0
2018-06-29,28000.0
2018-07-02,28000.0
2018-07-03,25000.0
2018-07-04,25000.0
2018-07-05,
2018-07-06,25000.0
2018-07-09,25000.0
2018-07-10,24000.0
2018-07-11,
2018-07-12,
2018-07-13,23000.0
2018-07-16,
2018-07-17,23000.0
2018-07-18,23000.0
2018-07-19,24000.0
2018-07-20,24000.0
2018-07-23,22000.0
2018-07-24,22000.0
2018-07-25,22000.0
2018-07-26,
2018-07-27,
2018-07-30,22000.0
2018-07-31,22000.0
2018-08-01,22000.0
2018-08-02,22000.0
2018-08-03,22000.0
2018-08-06,22000.0
2018-08-07,
2018-08-08,22000.0
2018-08-09,22000.0
2018-08-10,
2018-08-13,20000.0
2018-08-14,20000.0
2018-08-15,20000.0
2018-08-16,20000.0
2018-08-17,
2018-08-20,20000.0
2018-08-21,20000.0
2018-08-22,
2018-08-23,
2018-08-24,
2018-08-27,
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-03,21000.0
2018-09-04,
2018-09-05,
2018-09-06,16000.0
2018-09-07,18000.0
2018-09-10,18000.0
2018-09-11,
2018-09-12,15000.0
2018-09-13,15000.0
2018-09-14,
2018-09-17,18000.0
2018-09-18,20000.0
2018-09-19,14000.0
2018-09-20,16000.0
2018-09-21,18000.0
2018-09-24,20000.0
2018-09-25,18000.0
2018-09-26,
2018-09-27,
2018-09-28,14000.0
2018-10-01,14000.0
2018-10-02,
2018-10-03,
2018-10-04,
2018-10-05,
2018-10-08,
2018-10-09,
2018-10-10,
2018-10-11,
2018-10-12,12000.0
2018-10-15,
2018-10-16,16000.0
2018-10-17,
2018-10-18,
2018-10-19,16000.0
2018-10-22,
2018-10-23,
2018-10-24,
2018-10-25,16000.0
2018-10-26,
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-05,20000.0
2018-11-06,22000.0
2018-11-07,
2018-11-08,
2018-11-09,
2018-11-12,20000.0
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-22,
2018-11-23,
2018-11-26,
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,20000.0
2018-12-04,
2018-12-05,
2018-12-06,
2018-12-07,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-25,
2018-12-26,
2018-12-27,
2018-12-28,25000.0
2018-12-31,25000.0
2019-01-01,
2019-01-02,25000.0
2019-01-03,26000.0
2019-01-04,
2019-01-07,24000.0
2019-01-08,21000.0
2019-01-09,21000.0
2019-01-10,
2019-01-11,
2019-01-14,24000.0
2019-01-15,
2019-01-16,
2019-01-17,28000.0
2019-01-18,24000.0
2019-01-21,26000.0
2019-01-22,24000.0
2019-01-23,24000.0
2019-01-24,23000.0
2019-01-25,20000.0
2019-01-28,22000.0
2019-01-29,20000.0
2019-01-30,20000.0
2019-01-31,18000.0
2019-02-01,16000.0
2019-02-04,18000.0
2019-02-05,
2019-02-06,20000.0
2019-02-07,18000.0
2019-02-08,18000.0
2019-02-11,20000.0
2019-02-12,20000.0
2019-02-13,20000.0
2019-02-14,18000.0
2019-02-15,16000.0
2019-02-18,18000.0
2019-02-19,18000.0
2019-02-20,18000.0
2019-02-21,22000.0
2019-02-22,20000.0
2019-02-25,18000.0
2019-02-26,
2019-02-27,24000.0
2019-02-28,20000.0
2019-03-01,
2019-03-04,25000.0
2019-03-05,25000.0
2019-03-06,24000.0
2019-03-07,
2019-03-08,23000.0
2019-03-11,25000.0
2019-03-12,27000.0
2019-03-13,28000.0
2019-03-14,29000.0
2019-03-15,30000.0
2019-03-18,32000.0
2019-03-19,28000.0
2019-03-20,26000.0
2019-03-21,25000.0
2019-03-22,26000.0
2019-03-25,26000.0
2019-03-26,26000.0
2019-03-27,28000.0
2019-03-28,30000.0
2019-03-29,33000.0
2019-04-01,36000.0
2019-04-02,34000.0
2019-04-03,
2019-04-04,33000.0
2019-04-05,
2019-04-08,35000.0
2019-04-09,35000.0
2019-04-10,37000.0
2019-04-11,38000.0
2019-04-12,40000.0
2019-04-15,40000.0
2019-04-16,35000.0
2019-04-17,
2019-04-18,34000.0
2019-04-19,
2019-04-22,35000.0
2019-04-23,35000.0
2019-04-24,34000.0
2019-04-25,34000.0
2019-04-26,32000.0
2019-04-29,34000.0
2019-04-30,33000.0
2019-05-01,
2019-05-02,30000.0
2019-05-03,32000.0
2019-05-06,
2019-05-07,32000.0
2019-05-08,32000.0
2019-05-09,28000.0
2019-05-10,25000.0
2019-05-13,24000.0
2019-05-14,23000.0
2019-05-15,23000.0
2019-05-16,24000.0
2019-05-17,
2019-05-20,24000.0
2019-05-21,
2019-05-22,20000.0
2019-05-23,21000.0
2019-05-24,20000.0
2019-05-27,25000.0
2019-05-28,25000.0
2019-05-29,30000.0
2019-05-30,
2019-05-31,32000.0
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-10,30000.0
2019-06-11,30000.0
2019-06-12,30000.0
2019-06-13,
2019-06-14,
2019-06-17,30000.0
2019-06-18,31000.0
2019-06-19,30000.0
2019-06-20,
2019-06-21,
2019-06-24,34000.0
2019-06-25,35000.0
2019-06-26,30000.0
2019-06-27,30000.0
2019-06-28,
2019-07-01,30000.0
2019-07-02,30000.0
2019-07-03,30000.0
2019-07-04,30000.0
2019-07-05,30000.0
2019-07-08,25000.0
2019-07-09,25000.0
2019-07-10,25000.0
2019-07-11,25000.0
2019-07-12,25000.0
2019-07-15,25000.0
2019-07-16,25000.0
2019-07-17,25000.0
2019-07-18,20000.0
2019-07-19,20000.0
2019-07-22,20000.0
2019-07-23,20000.0
2019-07-24,25000.0
2019-07-25,25000.0
2019-07-26,25000.0
2019-07-29,20000.0
2019-07-30,20000.0
2019-07-31,20000.0
2019-08-01,
2019-08-02,20000.0
2019-08-05,25000.0
2019-08-06,25000.0
2019-08-07,25000.0
2019-08-08,25000.0
2019-08-09,25000.0
2019-08-12,25000.0
2019-08-13,25000.0
2019-08-14,25000.0
2019-08-15,25000.0
2019-08-16,
2019-08-19,25000.0
2019-08-20,25000.0
2019-08-21,20000.0
2019-08-22,20000.0
2019-08-23,20000.0
2019-08-26,20000.0
2019-08-27,15000.0
2019-08-28,15000.0
2019-08-29,15000.0
2019-08-30,15000.0
2019-09-02,20000.0
2019-09-03,15000.0
2019-09-04,15000.0
2019-09-05,15000.0
2019-09-06,20000.0
2019-09-09,14000.0
2019-09-10,15000.0
2019-09-11,15000.0
2019-09-12,14000.0
2019-09-13,
2019-09-16,20000.0
2019-09-17,20000.0
2019-09-18,
2019-09-19,20000.0
2019-09-20,
2019-09-23,16000.0
2019-09-24,16000.0
2019-09-25,17000.0
2019-09-26,17000.0
2019-09-27,17000.0
2019-09-30,17000.0
2019-10-01,17000.0
2019-10-02,18000.0
2019-10-03,15000.0
2019-10-04,15000.0
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,16000.0
2019-10-11,16000.0
2019-10-14,20000.0
2019-10-15,20000.0
2019-10-16,
2019-10-17,20000.0
2019-10-18,
2019-10-21,22000.0
2019-10-22,22000.0
2019-10-23,23000.0
2019-10-24,22000.0
2019-10-25,20000.0
2019-10-28,
2019-10-29,20000.0
2019-10-30,
2019-10-31,
2019-11-01,22000.0
2019-11-04,22000.0
2019-11-05,
2019-11-06,22000.0
2019-11-07,23000.0
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,26000.0
2019-11-22,26000.0
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,26000.0
2019-11-29,26000.0
2019-12-02,28000.0
2019-12-03,28000.0
2019-12-04,
2019-12-05,28000.0
2019-12-06,28000.0
2019-12-09,28000.0
2019-12-10,32000.0
2019-12-11,30000.0
2019-12-12,30000.0
2019-12-13,30000.0
2019-12-16,36000.0
2019-12-17,30000.0
2019-12-18,30000.0
2019-12-19,30000.0
2019-12-20,30000.0
2019-12-23,30000.0
2019-12-24,
2019-12-25,
2019-12-26,35000.0
2019-12-27,35000.0
2019-12-30,30000.0
2019-12-31,35000.0
2020-01-01,
2020-01-02,30000.0
2020-01-03,30000.0
2020-01-06,20000.0
2020-01-07,20000.0
2020-01-08,24000.0
2020-01-09,24000.0
2020-01-10,24000.0
2020-01-13,24000.0
2020-01-14,24000.0
2020-01-15,24000.0
2020-01-16,24000.0
2020-01-17,20000.0
2020-01-20,20000.0
2020-01-21,20000.0
2020-01-22,20000.0
2020-01-23,20000.0
2020-01-24,20000.0
2020-01-27,20000.0
2020-01-28,20000.0
2020-01-29,20000.0
2020-01-30,20000.0
2020-01-31,20000.0
2020-02-03,20000.0
2020-02-04,25000.0
2020-02-05,25000.0
2020-02-06,
2020-02-07,25000.0
2020-02-10,25000.0
2020-02-11,25000.0
2020-02-12,25000.0
2020-02-13,25000.0
2020-02-14,25000.0
2020-02-17,25000.0
2020-02-18,25000.0
2020-02-19,25000.0
2020-02-20,25000.0
2020-02-21,25000.0
2020-02-24,25000.0
2020-02-25,25000.0
2020-02-26,
2020-02-27,25000.0
2020-02-28,
2020-03-02,30000.0
2020-03-03,30000.0
2020-03-04,30000.0
2020-03-05,25000.0
2020-03-06,
2020-03-09,30000.0
2020-03-10,30000.0
2020-03-11,30000.0
2020-03-12,30000.0
2020-03-13,30000.0
2020-03-16,30000.0
2020-03-17,30000.0
2020-03-18,30000.0
2020-03-19,35000.0
2020-03-20,35000.0
2020-03-23,30000.0
2020-03-24,34000.0
2020-03-25,
2020-03-26,34000.0
2020-03-27,34000.0
2020-03-30,34000.0
2020-03-31,34000.0
2020-04-01,40000.0
2020-04-02,40000.0
2020-04-03,34000.0
2020-04-06,40000.0
2020-04-07,38000.0
2020-04-08,38000.0
2020-04-09,38000.0
2020-04-10,
2020-04-13,45000.0
2020-04-14,45000.0
2020-04-15,43000.0
2020-04-16,40000.0
2020-04-17,
2020-04-20,40000.0
2020-04-21,35000.0
2020-04-22,35000.0
2020-04-23,35000.0
2020-04-24,35000.0
2020-04-27,35000.0
2020-04-28,35000.0
2020-04-29,35000.0
2020-04-30,40000.0
2020-05-01,
2020-05-04,40000.0
2020-05-05,
2020-05-06,38000.0
2020-05-07,
2020-05-08,38000.0
2020-05-11,40000.0
2020-05-12,40000.0
2020-05-13,45000.0
2020-05-14,
2020-05-15,48000.0
2020-05-18,
2020-05-19,50000.0
2020-05-20,50000.0
2020-05-21,
2020-05-22,50000.0
2020-05-25,
2020-05-26,50000.0
2020-05-27,50000.0
2020-05-28,50000.0
2020-05-29,50000.0
2020-06-01,
2020-06-02,50000.0
2020-06-03,50000.0
2020-06-04,50000.0
2020-06-05,50000.0
2020-06-08,50000.0
2020-06-09,50000.0
2020-06-10,50000.0
2020-06-11,50000.0
2020-06-12,50000.0
2020-06-15,50000.0
2020-06-16,50000.0
2020-06-17,50000.0
2020-06-18,50000.0
2020-06-19,50000.0
2020-06-22,50000.0
2020-06-23,50000.0
2020-06-24,48000.0
2020-06-25,48000.0
2020-06-26,48000.0
2020-06-29,48000.0
2020-06-30,48000.0
2020-07-01,48000.0
2020-07-02,40000.0
2020-07-03,40000.0
2020-07-06,35000.0
2020-07-07,35000.0
2020-07-08,35000.0
2020-07-09,35000.0
2020-07-10,35000.0
2020-07-13,35000.0
2020-07-14,35000.0
2020-07-15,35000.0
2020-07-16,35000.0
2020-07-17,35000.0
2020-07-20,30000.0
2020-07-21,30000.0
2020-07-22,30000.0
2020-07-23,30000.0
2020-07-24,30000.0
2020-07-27,25000.0
2020-07-28,25000.0
2020-07-29,25000.0
2020-07-30,25000.0
2020-07-31,
2020-08-03,25000.0
2020-08-04,25000.0
2020-08-05,25000.0
2020-08-06,25000.0
2020-08-07,25000.0
2020-08-10,25000.0
2020-08-11,25000.0
2020-08-12,25000.0
2020-08-13,25000.0
2020-08-14,25000.0
2020-08-17,
2020-08-18,22000.0
2020-08-19,22000.0
2020-08-20,
2020-08-21,
2020-08-24,22000.0
2020-08-25,22000.0
2020-08-26,22000.0
2020-08-27,22000.0
2020-08-28,22000.0
2020-08-31,22000.0
2020-09-01,22000.0
2020-09-02,25000.0
2020-09-03,25000.0
2020-09-04,25000.0
2020-09-07,25000.0
2020-09-08,25000.0
2020-09-09,25000.0
2020-09-10,25000.0
2020-09-11,25000.0
2020-09-14,25000.0
2020-09-15,25000.0
2020-09-16,
2020-09-17,25000.0
2020-09-18,25000.0
2020-09-21,25000.0
2020-09-22,25000.0
2020-09-23,25000.0
2020-09-24,25000.0
2020-09-25,25000.0
2020-09-28,25000.0
2020-09-29,
2020-09-30,22000.0
2020-10-01,24000.0
2020-10-02,24000.0
2020-10-05,22000.0
2020-10-06,28000.0
2020-10-07,30000.0
2020-10-08,30000.0
2020-10-09,30000.0
2020-10-12,30000.0
2020-10-13,30000.0
2020-10-14,30000.0
2020-10-15,30000.0
2020-10-16,30000.0
2020-10-19,
2020-10-20,30000.0
2020-10-21,
2020-10-22,30000.0
2020-10-23,30000.0
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-02,30000.0
2020-11-03,30000.0
2020-11-04,
2020-11-05,30000.0
2020-11-06,30000.0
2020-11-09,30000.0
2020-11-10,
2020-11-11,
2020-11-12,30000.0
2020-11-13,30000.0
2020-11-16,28000.0
2020-11-17,30000.0
2020-11-18,
2020-11-19,30000.0
2020-11-20,30000.0
2020-11-23,30000.0
2020-11-24,30000.0
2020-11-25,30000.0
2020-11-26,30000.0
2020-11-27,28000.0
2020-11-30,30000.0
2020-12-01,28000.0
2020-12-02,28000.0
2020-12-03,28000.0
2020-12-04,28000.0
2020-12-07,
2020-12-08,28000.0
2020-12-09,
2020-12-10,28000.0
2020-12-11,28000.0
2020-12-14,28000.0
2020-12-15,28000.0
2020-12-16,20000.0
2020-12-17,20000.0
2020-12-18,
2020-12-21,20000.0
2020-12-22,20000.0
2020-12-23,
2020-12-24,15000.0
2020-12-25,15000.0
2020-12-28,15000.0
2020-12-29,17000.0
2020-12-30,17000.0
2020-12-31,17000.0
2021-01-01,
2021-01-04,17000.0
2021-01-05,17000.0
2021-01-06,17000.0
2021-01-07,17000.0
2021-01-08,18000.0
2021-01-11,
2021-01-12,20000.0
2021-01-13,20000.0
2021-01-14,20000.0
2021-01-15,20000.0
2021-01-18,20000.0
2021-01-19,22000.0
2021-01-20,
2021-01-21,
2021-01-22,22000.0
2021-01-25,22000.0
2021-01-26,22000.0
2021-01-27,22000.0
2021-01-28,22000.0
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,22000.0
2021-02-04,22000.0
2021-02-05,
2021-02-08,24000.0
2021-02-09,24000.0
2021-02-10,
2021-02-11,20000.0
2021-02-12,
2021-02-15,28000.0
2021-02-16,28000.0
2021-02-17,28000.0
2021-02-18,28000.0
2021-02-19,
2021-02-22,28000.0
2021-02-23,
2021-02-24,28000.0
2021-02-25,28000.0
2021-02-26,28000.0
2021-03-01,
2021-03-02,32000.0
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,30000.0
2021-03-09,30000.0
2021-03-10,30000.0
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-05,
2021-04-06,
2021-04-07,30000.0
2021-04-08,
2021-04-09,
2021-04-12,30000.0
2021-04-13,30000.0
2021-04-14,20000.0
2021-04-15,
2021-04-16,20000.0
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-26,30000.0
2021-04-27,
2021-04-28,28000.0
2021-04-29,28000.0
2021-04-30,
