Date,Price
2019-01-30,18000.0
2019-01-31,
2019-02-01,18000.0
2019-02-04,20000.0
2019-02-05,
2019-02-06,18000.0
2019-02-07,20000.0
2019-02-08,18000.0
2019-02-11,18000.0
2019-02-12,18000.0
2019-02-13,18000.0
2019-02-14,18000.0
2019-02-15,18000.0
2019-02-18,18000.0
2019-02-19,19000.0
2019-02-20,20000.0
2019-02-21,20000.0
2019-02-22,20000.0
2019-02-25,25000.0
2019-02-26,24000.0
2019-02-27,24000.0
2019-02-28,24000.0
2019-03-01,24000.0
2019-03-04,25000.0
2019-03-05,26000.0
2019-03-06,28000.0
2019-03-07,
2019-03-08,30000.0
2019-03-11,32000.0
2019-03-12,32000.0
2019-03-13,32000.0
2019-03-14,32000.0
2019-03-15,
2019-03-18,32000.0
2019-03-19,
2019-03-20,32000.0
2019-03-21,32000.0
2019-03-22,32000.0
2019-03-25,34000.0
2019-03-26,34000.0
2019-03-27,33000.0
2019-03-28,33000.0
2019-03-29,
2019-04-01,36000.0
2019-04-02,36000.0
2019-04-03,
2019-04-04,36000.0
2019-04-05,36000.0
2019-04-08,38000.0
2019-04-09,38000.0
2019-04-10,
2019-04-11,40000.0
2019-04-12,40000.0
2019-04-15,40000.0
2019-04-16,40000.0
2019-04-17,
2019-04-18,37000.0
2019-04-19,
2019-04-22,40000.0
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,32000.0
2019-04-30,30000.0
2019-05-01,
2019-05-02,28000.0
2019-05-03,28000.0
2019-05-06,26000.0
2019-05-07,28000.0
2019-05-08,26000.0
2019-05-09,26000.0
2019-05-10,25000.0
2019-05-13,25000.0
2019-05-14,24000.0
2019-05-15,25000.0
2019-05-16,25000.0
2019-05-17,25000.0
2019-05-20,25000.0
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-27,27000.0
2019-05-28,27000.0
2019-05-29,20000.0
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-10,30000.0
2019-06-11,30000.0
2019-06-12,30000.0
2019-06-13,
2019-06-14,29000.0
2019-06-17,30000.0
2019-06-18,30000.0
2019-06-19,30000.0
2019-06-20,30000.0
2019-06-21,30000.0
2019-06-24,32000.0
2019-06-25,32000.0
2019-06-26,32000.0
2019-06-27,32000.0
2019-06-28,32000.0
2019-07-01,32000.0
2019-07-02,32000.0
2019-07-03,30000.0
2019-07-04,30000.0
2019-07-05,30000.0
2019-07-08,29000.0
2019-07-09,30000.0
2019-07-10,30000.0
2019-07-11,30000.0
2019-07-12,30000.0
2019-07-15,28000.0
2019-07-16,28000.0
2019-07-17,28000.0
2019-07-18,28000.0
2019-07-19,28000.0
2019-07-22,27000.0
2019-07-23,27000.0
2019-07-24,27000.0
2019-07-25,27000.0
2019-07-26,28000.0
2019-07-29,25000.0
2019-07-30,25000.0
2019-07-31,23000.0
2019-08-01,22000.0
2019-08-02,22000.0
2019-08-05,23000.0
2019-08-06,23000.0
2019-08-07,23000.0
2019-08-08,23000.0
2019-08-09,24000.0
2019-08-12,22000.0
2019-08-13,22000.0
2019-08-14,20000.0
2019-08-15,20000.0
2019-08-16,20000.0
2019-08-19,18000.0
2019-08-20,18000.0
2019-08-21,18000.0
2019-08-22,18000.0
2019-08-23,18000.0
2019-08-26,18000.0
2019-08-27,18000.0
2019-08-28,18000.0
2019-08-29,18000.0
2019-08-30,18000.0
2019-09-02,18000.0
2019-09-03,18000.0
2019-09-04,15000.0
2019-09-05,15000.0
2019-09-06,16000.0
2019-09-09,16000.0
2019-09-10,16000.0
2019-09-11,17000.0
2019-09-12,16000.0
2019-09-13,15000.0
2019-09-16,15000.0
2019-09-17,15000.0
2019-09-18,16000.0
2019-09-19,16000.0
2019-09-20,15000.0
2019-09-23,15000.0
2019-09-24,15000.0
2019-09-25,16000.0
2019-09-26,16000.0
2019-09-27,15000.0
2019-09-30,16000.0
2019-10-01,16000.0
2019-10-02,16000.0
2019-10-03,16000.0
2019-10-04,16000.0
2019-10-07,16000.0
2019-10-08,16000.0
2019-10-09,17000.0
2019-10-10,17000.0
2019-10-11,19000.0
2019-10-14,20000.0
2019-10-15,20000.0
2019-10-16,20000.0
2019-10-17,20000.0
2019-10-18,20000.0
2019-10-21,
2019-10-22,20000.0
2019-10-23,20000.0
2019-10-24,20000.0
2019-10-25,20000.0
2019-10-28,20000.0
2019-10-29,20000.0
2019-10-30,20000.0
2019-10-31,22000.0
2019-11-01,
2019-11-04,22000.0
2019-11-05,22000.0
2019-11-06,23000.0
2019-11-07,23000.0
2019-11-08,25000.0
2019-11-11,
2019-11-12,
2019-11-13,25000.0
2019-11-14,24000.0
2019-11-15,30000.0
2019-11-18,30000.0
2019-11-19,
2019-11-20,30000.0
2019-11-21,30000.0
2019-11-22,30000.0
2019-11-25,29000.0
2019-11-26,29000.0
2019-11-27,29000.0
2019-11-28,29000.0
2019-11-29,30000.0
2019-12-02,30000.0
2019-12-03,30000.0
2019-12-04,30000.0
2019-12-05,30000.0
2019-12-06,30000.0
2019-12-09,30000.0
2019-12-10,30000.0
2019-12-11,32000.0
2019-12-12,32000.0
2019-12-13,32000.0
2019-12-16,34000.0
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,34000.0
2019-12-23,40000.0
2019-12-24,
2019-12-25,
2019-12-26,40000.0
2019-12-27,40000.0
2019-12-30,35000.0
2019-12-31,30000.0
2020-01-01,
2020-01-02,30000.0
2020-01-03,28000.0
2020-01-06,30000.0
2020-01-07,30000.0
2020-01-08,30000.0
2020-01-09,30000.0
2020-01-10,30000.0
2020-01-13,28000.0
2020-01-14,28000.0
2020-01-15,28000.0
2020-01-16,28000.0
2020-01-17,28000.0
2020-01-20,26000.0
2020-01-21,26000.0
2020-01-22,25000.0
2020-01-23,
2020-01-24,26000.0
2020-01-27,26000.0
2020-01-28,26000.0
2020-01-29,26000.0
2020-01-30,26000.0
2020-01-31,28000.0
2020-02-03,30000.0
2020-02-04,28000.0
2020-02-05,30000.0
2020-02-06,30000.0
2020-02-07,29000.0
2020-02-10,29000.0
2020-02-11,29000.0
2020-02-12,30000.0
2020-02-13,30000.0
2020-02-14,28000.0
2020-02-17,26000.0
2020-02-18,25000.0
2020-02-19,25000.0
2020-02-20,25000.0
2020-02-21,25000.0
2020-02-24,25000.0
2020-02-25,25000.0
2020-02-26,26000.0
2020-02-27,26000.0
2020-02-28,25000.0
2020-03-02,25000.0
2020-03-03,25000.0
2020-03-04,26000.0
